school_id,school_name,education_level,municipality,administrative_post,latitude,longitude
TL-0250,EBF2 Lacluta 01 (sample),Basic Education 2nd Cycle,Viqueque,Lacluta,-8.84632,126.18042
TL-0251,EBF1 Lacluta 02 (sample),Basic Education 1st Cycle,Viqueque,Lacluta,-8.87088,126.17525
TL-0252,EBF2 Lacluta 03 (sample),Basic Education 2nd Cycle,Viqueque,Lacluta,-8.82835,126.15777
TL-0253,EBF1 Lacluta 04 (sample),Basic Education 1st Cycle,Viqueque,Lacluta,-8.79944,126.11663
TL-0254,EBF1 Lacluta 05 (sample),Basic Education 1st Cycle,Viqueque,Lacluta,-8.85209,126.13583
TL-0255,ESG Lacluta 06 (sample),Secondary General,Viqueque,Lacluta,-8.82378,126.14333
TL-0256,EBF2 Ossu 01 (sample),Basic Education 2nd Cycle,Viqueque,Ossu,-8.74669,126.35365
TL-0257,EBF2 Ossu 02 (sample),Basic Education 2nd Cycle,Viqueque,Ossu,-8.73036,126.34396
TL-0258,EBF2 Ossu 03 (sample),Basic Education 2nd Cycle,Viqueque,Ossu,-8.71891,126.37065
TL-0259,JI Ossu 04 (sample),Pre-School,Viqueque,Ossu,-8.68938,126.35437
TL-0260,EBF1 Uatocarbau 01 (sample),Basic Education 1st Cycle,Viqueque,Uatocarbau,-8.78131,126.71253
TL-0261,EBF3 Uatocarbau 02 (sample),Basic Education 3rd Cycle,Viqueque,Uatocarbau,-8.80387,126.71928
TL-0262,ESG Uatocarbau 03 (sample),Secondary General,Viqueque,Uatocarbau,-8.79459,126.65527
TL-0263,ESTV Uatocarbau 04 (sample),Secondary Technical-Vocational,Viqueque,Uatocarbau,-8.76209,126.71684
TL-0264,JI Uatocarbau 05 (sample),Pre-School,Viqueque,Uatocarbau,-8.77640,126.64903
TL-0265,EBF1 Uatolari 01 (sample),Basic Education 1st Cycle,Viqueque,Uatolari,-8.82622,126.52862
TL-0266,EBF1 Uatolari 02 (sample),Basic Education 1st Cycle,Viqueque,Uatolari,-8.74902,126.53302
TL-0267,EBF2 Uatolari 03 (sample),Basic Education 2nd Cycle,Viqueque,Uatolari,-8.78408,126.55165
TL-0268,JI Viqueque 01 (sample),Pre-School,Viqueque,Viqueque,-8.86569,126.34391
TL-0269,ESG Viqueque 02 (sample),Secondary General,Viqueque,Viqueque,-8.81742,126.39967
TL-0270,EBF1 Viqueque 03 (sample),Basic Education 1st Cycle,Viqueque,Viqueque,-8.86030,126.40302
TL-0271,ESG Nitibe 01 (sample),Secondary General,RAEOA (Oe-Cusse Ambeno),Nitibe,-9.30553,124.16540
TL-0272,EBF1 Nitibe 02 (sample),Basic Education 1st Cycle,RAEOA (Oe-Cusse Ambeno),Nitibe,-9.31293,124.21395
TL-0273,EBF2 Nitibe 03 (sample),Basic Education 2nd Cycle,RAEOA (Oe-Cusse Ambeno),Nitibe,-9.29080,124.18513
TL-0274,JI Oesilo 01 (sample),Pre-School,RAEOA (Oe-Cusse Ambeno),Oesilo,-9.29285,124.45756
TL-0275,EBF2 Oesilo 02 (sample),Basic Education 2nd Cycle,RAEOA (Oe-Cusse Ambeno),Oesilo,-9.28561,124.50524
TL-0276,EBF1 Oesilo 03 (sample),Basic Education 1st Cycle,RAEOA (Oe-Cusse Ambeno),Oesilo,-9.25072,124.46588
TL-0277,ESG Pante Macassar 01 (sample),Secondary General,RAEOA (Oe-Cusse Ambeno),Pante Macassar,-9.17485,124.37531
TL-0278,ESTV Pante Macassar 02 (sample),Secondary Technical-Vocational,RAEOA (Oe-Cusse Ambeno),Pante Macassar,-9.19937,124.35035
TL-0279,EBF1 Pante Macassar 03 (sample),Basic Education 1st Cycle,RAEOA (Oe-Cusse Ambeno),Pante Macassar,-9.18506,124.38747
TL-0280,EBF2 Pante Macassar 04 (sample),Basic Education 2nd Cycle,RAEOA (Oe-Cusse Ambeno),Pante Macassar,-9.17376,124.40037
TL-0281,ESTV Passabe 01 (sample),Secondary Technical-Vocational,RAEOA (Oe-Cusse Ambeno),Passabe,-9.33902,124.31503
TL-0282,EBF3 Passabe 02 (sample),Basic Education 3rd Cycle,RAEOA (Oe-Cusse Ambeno),Passabe,-9.31968,124.36161
TL-0283,EBF3 Passabe 03 (sample),Basic Education 3rd Cycle,RAEOA (Oe-Cusse Ambeno),Passabe,-9.36186,124.31955
TL-0284,EBF2 Passabe 04 (sample),Basic Education 2nd Cycle,RAEOA (Oe-Cusse Ambeno),Passabe,-9.34534,124.34220
